stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\game\project\bin\Debug\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00023] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00024] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00153] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   1.41436] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1769 d3d_create_display_locked        [   1.41678] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   1.41681] al_display=0000000000FF8480
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   1.41682] al_display->vt=0000000000FF7E60
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   1.46907] found 160 format combinations
display  D   display_settings.c:212  debug_display_settings           [   1.46911] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.46914] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.46915] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.46917] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.46918] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.46919] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   1.46921] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.46922] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.46923] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.46925] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   1.46926] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.46927] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.46928] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.46930] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.46931] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.46932] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   1.46934] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.46935] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.46936] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.46937] Score is : 717
